大分類,中分類,小分類,細分類,該当例
管理的職業,管理的公務員,管理的公務員,議会議員,区議会議員
,,,,国会議員
,,,,参議院議員
,,,,市議会議員
,,,,市区町村議会議員
,,,,衆議院議員
,,,,村議会議員
,,,,代議士
,,,,地方議会議員
,,,,地方公共団体議会議員
,,,,町議会議員
,,,,都道府県議会議員
,,,管理的国家公務員,課長(各府省庁)
,,,,官房長(各府省)
,,,,企画官(各府省庁)
,,,,局次長(各省)
,,,,局長(各府省)
,,,,空港長(地方航空局、空港事務所)
,,,,刑務所長
,,,,研究所長(国:研究員でないもの)
,,,,公共職業安定所長
,,,,工事事務所長(国)
,,,,航路標識事務所長
,,,,国務大臣
,,,,参事官(各府省庁)
,,,,試験所長(国:管理のみのもの)
,,,,次長(各庁)
,,,,室長(各府省庁)
,,,,事務局長(行政委員会事務局)
,,,,事務局長(裁判所)
,,,,事務次官
,,,,事務所長(各省庁)
,,,,事務総長(衆参議院事務局)
,,,,事務総長(人事院)
,,,,訟廷管理官(裁判所)
,,,,審議官(各府省庁)
,,,,森林管理署長
,,,,税関支署長
,,,,税関長
,,,,政策統括官(各府省)
,,,,政務官
,,,,税務署長
,,,,大臣政務官
,,,,地方支分部局の局・部・課長
,,,,中央府省の局・部・課長
,,,,長官(各庁)
,,,,調査官(各府省庁)
,,,,内閣総理大臣
,,,,内閣法制局長官
,,,,副大臣
,,,,部長(各府省庁)
,,,,労働基準監督署長
,,,管理的地方公務員,運輸区長(公営交通)
,,,,営繕区長(公営)
,,,,会計管理者(市町村)
,,,,会計管理者(都道府県)
,,,,課長(地方公共団体)
,,,,学校給食事務所長(教育委員会)
,,,,企業長(水道企業団)
,,,,教育長
,,,,局長(地方公共団体)
,,,,勤労青少年ホーム館長(地方公共団体)
,,,,区長(政令指定都市)
,,,,区長(東京都の特別区)
,,,,下水処理場場長
,,,,公園管理者(地方公共団体)
,,,,工事事務所長(地方公共団体)
,,,,公民館長
,,,,市場長(地方公共団体)
,,,,支所長(地方公共団体)
,,,,市長
,,,,市町村長
,,,,支庁長(地方公共団体)
,,,,次長(都道府県)
,,,,室長(地方公共団体)
,,,,自動車営業所長(地方公共団体)
,,,,事務局次長(地方公共団体)
,,,,事務局長(公立病院)
,,,,事務局長(地方公共団体)
,,,,事務長(公立大学)
,,,,職業訓練所長(地方公共団体)
,,,,植物園管理者(地方公共団体)
,,,,清掃事務所長
,,,,村長
,,,,体育館長(教育委員会)
,,,,知事
,,,,地方公共団体出先機関の長・課長
,,,,地方公共団体の局・部・課長
,,,,地方事務所長(地方公共団体)
,,,,中央卸売市場長(地方公共団体)
,,,,町長
,,,,動物園長(地方公共団体)
,,,,図書館長(地方公共団体)
,,,,博物館管理者(地方公共団体)
,,,,美術館管理者(地方公共団体)
,,,,福祉事務所所長
,,,,副市町村長
,,,,副知事
,,,,部長(地方公共団体)
,法人・団体の役員,会社役員,会社役員,会社会長
,,,,会社監査役
,,,,会社監事
,,,,会社工場長(取締役であるもの)
,,,,会社執行役
,,,,会社支店長(取締役であるもの)
,,,,会社社長
,,,,会社常務取締役
,,,,会社専務取締役
,,,,会社相談役(取締役であるもの)
,,,,会社総務部長(取締役であるもの)
,,,,会社取締役
,,,,会社取締役支配人
,,,,会社副社長
,,,,会社部長(取締役であるもの)
,,,,銀行頭取
,,,,参与(会社:役員)
,,,,CEO(会社最高経営責任者)
,,,,CFO(最高財務責任者:取締役であるもの)
,,,,COO(最高執行責任者)
,,,,相互会社社長(保険業)
,,,,代表社員(有限・合名・合資会社)
,,,,代表取締役社長
,,,,百貨店店長(取締役であるもの)
,,その他の法人・団体の役員,独立行政法人等の役員,監事(独立行政法人)
,,,,公立大学法人役員(学長、理事、監事)
,,,,国立大学法人役員(学長、理事、監事)
,,,,地方独立行政法人役員(理事長、理事、監事)
,,,,特殊会社役員(社長、取締役、監査役)
,,,,特殊法人役員
,,,,独立行政法人役員(理事長、理事、監事)
,,,,日本銀行役員(総裁、理事、監事)
,,,,日本放送協会役員(会長、副会長、理事)
,,,,理事長(独立行政法人)
,,,,理事(特殊法人)
,,,,理事(独立行政法人)
,,,他に分類されない法人・団体の役員,医療法人役員
,,,,学校法人役員
,,,,環境衛生同業組合役員
,,,,協会会長
,,,,協会監事
,,,,協会理事
,,,,協同組合役員
,,,,協同組合連合会役員
,,,,漁業協同組合役員
,,,,漁業協同組合連合会役員
,,,,組合常務理事
,,,,組合長(協同組合)
,,,,経営者団体役員
,,,,健康保険組合役員
,,,,公益財団法人役員
,,,,公益社団法人役員
,,,,国民健康保険組合役員
,,,,財団法人役員(理事長・理事・監事)
,,,,事務局長(政党)
,,,,社会事業団体役員
,,,,社会福祉法人役員
,,,,宗教法人役員
,,,,商工組合中央金庫役員
,,,,商工組合役員
,,,,商工組合連合会役員
,,,,常任理事(団体)
,,,,常務理事(団体)
,,,,職員組合委員長
,,,,信金中央金庫役員
,,,,信用金庫役員
,,,,生活協同組合理事
,,,,政党本部役員(議員でないもの)
,,,,全国中小企業団体中央会役員
,,,,専務理事(団体)
,,,,大学理事(私立大学)
,,,,団体役員
,,,,土地開発公社理事
,,,,都道府県中小企業団体中央会役員
,,,,都道府県農業協同組合連合会役員
,,,,日本経済団体連合会役員
,,,,日本塩工業会役員
,,,,農業共済組合役員
,,,,農業協同組合組合長
,,,,農業協同組合役員
,,,,農業協同組合連合会役員
,,,,納税貯蓄組合役員
,,,,理事(病院)
,,,,労働金庫役員
,,,,労働金庫連合会役員
,,,,労働組合委員長
,,,,労働組合監事(専従)
,,,,労働組合執行委員(専従)
,,,,労働組合書記長
,,,,労働組合役員
,法人・団体の管理職員,会社の管理職員,会社の管理職員,飲食店長(会社:主に管理的な仕事に従事するもの)
,,,,営業課長(主に管理的な仕事に従事するもの)
,,,,営業所長(会社)
,,,,営業所長(保険会社)
,,,,営業部長(会社)
,,,,駅長(鉄道)
,,,,卸売店長(会社:主に管理的な仕事に従事するもの)
,,,,海運課長
,,,,会計課長(会社)
,,,,会社工場長(取締役を除く)
,,,,会社支店長(取締役を除く)
,,,,会社総務部長(取締役を除く)
,,,,貸付課長(銀行)
,,,,課長(会社)
,,,,株式課長(会社)
,,,,機械施設課長
,,,,企画課長(会社)
,,,,銀行支店長
,,,,金融会社支店長
,,,,区長(鉄道)
,,,,経理課長(主に管理的な仕事に従事するもの)
,,,,建設課長(会社)
,,,,建設業所長
,,,,高圧ガス(LPG)製造保安統括者
,,,,公園管理所長(民営)
,,,,鉱業課長(会社)
,,,,鉱業所長
,,,,鉱山保安統括者
,,,,工事事務所工事区長
,,,,工場・支店・営業所等の長
,,,,工場・支店等の部課長
,,,,工場長(会社:取締役を除く)
,,,,広報課長(会社)
,,,,小売店長(会社:主に管理的な仕事に従事するもの)
,,,,資材課長(会社:工場)
,,,,支社長(会社)
,,,,次長(会社)
,,,,執行役員(取締役等の会社役員ではないもの)
,,,,支店長
,,,,自動車営業所長
,,,,支部長(生命保険会社)
,,,,出張所長(保険業)
,,,,渉外課長
,,,,植物園管理者(民営)
,,,,庶務課長(会社)
,,,,人事課長(会社)
,,,,新聞監査委員(新聞社)
,,,,製造部課長(会社:工場)
,,,,倉庫業所長
,,,,総務課長(会社)
,,,,調査課長(会社)
,,,,調査役(銀行)
,,,,動物園管理者(民営)
,,,,博物館管理者(民営)
,,,,発電所長
,,,,販売課長(卸売店)
,,,,美術館管理者(民営)
,,,,百貨店店長
,,,,部長(会社)
,,,,編集局長(新聞社)
,,,,保修課長(電力会社)
,,,,ホテル支配人(会社:主に管理的な仕事に従事するもの)
,,,,本社部課長
,,,,本部長(取締役を除く)
,,,,旅館支配人(会社:主に管理的な仕事に従事するもの)
,,その他の法人・団体の管理職員,独立行政法人等の管理職員,学生相談所長(国立大学法人)
,,,,課長(特殊法人)
,,,,課長(独立行政法人)
,,,,公立大学法人の部課長
,,,,国立大学法人の部課長
,,,,事務長(国立大学法人)
,,,,場長(特殊法人)
,,,,審査役(特殊法人)
,,,,地方独立行政法人の部課長
,,,,特殊会社の部課長
,,,,独立行政法人の部課長
,,,,日本銀行の局長・課長
,,,福祉施設管理者,園長(社会福祉施設)
,,,,館長(社会福祉施設)
,,,,施設長(社会福祉施設)
,,,,障害者福祉施設長
,,,,特別養護老人ホーム施設長
,,,,認知症高齢者グループホーム管理者(主に管理的な仕事に従事するもの)
,,,,保護施設長
,,,,母子生活支援施設長
,,,,養護老人ホーム施設長
,,,,老人デイサービスセンター管理者(主に管理的な仕事に従事するもの)
,,,他に分類されない法人・団体の管理職員,会計課長(社会福祉法人)
,,,,会計課長(社団法人)
,,,,課長(私立学校:教員でないもの)
,,,,協同組合部課長
,,,,経営者団体部課長
,,,,公益財団法人部課長
,,,,公益社団法人部課長
,,,,公園管理所長(法人などの団体)
,,,,参事(協同組合)
,,,,支所長(農業協同組合)
,,,,指導部長(協同組合連合会)
,,,,支部長(農協)
,,,,支部長(労働組合)
,,,,事務局長(財団法人)
,,,,事務長(組合)
,,,,事務長(病院)
,,,,庶務課長(団体)
